ï»¿Min,X,N/A,N/A
AM-150BWF,X,N/A,N/A
AM-50BAE,V,"AM-50BAE, Top Hat Cuber Ice Machine, Air-cooled, Built in Storage Bin",https://www.hoshizakiamerica.com/product/AM-50BAE/
AM-50BAE-AD,V,"AM-50BAE-AD, Top Hat Cuber Ice Machine, Air-cooled, ADA Compliant Height",https://www.hoshizakiamerica.com/product/AM-50BAE-AD/
AM-50BAE-ADDS,V,"AM-50BAE-ADDS, Top Hat Cuber Ice Machine, Air-cooled, ADA compliant Height & Custom Cabinet Ready",https://www.hoshizakiamerica.com/product/AM-50BAE-ADDS/
AM-50BAE-DS,V,"AM-50BAE-DS, Top Hat Cuber Ice Machine, Air-cooled, Custom Cabinet Ready",https://www.hoshizakiamerica.com/product/AM-50BAE-DS/
C-100BAE-AD,X,N/A,N/A
C-100BAE-ADDS,X,N/A,N/A
C-100BAF,X,N/A,N/A
C-100BAF-AD,X,N/A,N/A
C-100BAF-ADDS,X,N/A,N/A
DCM-270BAH,V,"DCM-270BAH, Cubelet Ice and Water Dispenser, Air-cooled, Built in Storage Bin",https://www.hoshizakiamerica.com/product/DCM-270BAH/
DCM-270BAH-OS,V,"DCM-270BAH-OS, Cubelet Icemaker, Air-cooled, Hands Free Dispenser, Built in Storage Bin",https://www.hoshizakiamerica.com/product/DCM-270BAH-OS/
DCM-500BAH,V,"DCM-500BAH, Cubelet Icemaker, Air-cooled, Built in Storage Bin",https://www.hoshizakiamerica.com/product/DCM-500BAH/
DCM-500BAH-OS,V,"DCM-500BAH-OS, Cubelet Icemaker, Air-cooled, Hands Free Dispenser, Built in Storage Bin",https://www.hoshizakiamerica.com/product/DCM-500BAH-OS/
DCM-500BWH,V,"DCM-500BWH, Cubelet Icemaker, Water-cooled, Built in Storage Bin",https://www.hoshizakiamerica.com/product/DCM-500BWH/
DCM-500BWH-OS,V,"DCM-500BWH-OS, Cubelet Icemaker, Water-cooled, Hands Free Dispenser, Built in Storage Bin",https://www.hoshizakiamerica.com/product/DCM-500BWH-OS/
